date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:18	175534/175534	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Oct%202025%2008:40:25%20GMT	https://klmnko.de/	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/index.html	(from )
09:29:21	245/245	---M--	200	added ('OK')	text/plain	date:Wed,%2022%20Oct%202025%2008:40:30%20GMT	https://klmnko.de/robots.txt		(from )
09:29:22	20622/20622	---M--	200	added ('OK')	image/webp	etag:%22508e-62e44f52d24d1%22	https://klmnko.de/wp-content/uploads/2024/12/Image-menu.webp	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/wp-content/uploads/2024/12/Image-menu.webp	(from https://klmnko.de/)
09:29:23	20282/20282	---M--	200	added ('OK')	image/webp	etag:%224f3a-62dce23dfe48a%22	https://klmnko.de/wp-content/uploads/2025/02/Alexander-Klimenko.webp	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/wp-content/uploads/2025/02/Alexander-Klimenko.webp	(from https://klmnko.de/)
09:29:23	22396/22396	---M--	200	added ('OK')	image/webp	etag:%22577c-62dcd6f7305f6%22	https://klmnko.de/wp-content/uploads/2025/02/services-webdesign-1024x1024.webp	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/wp-content/uploads/2025/02/services-webdesign-1024x1024.webp	(from https://klmnko.de/)
09:29:24	145260/145260	---M--	200	added ('OK')	font/ttf	etag:%222376c-62f25b19f9026%22	https://klmnko.de/wp-content/uploads/2024/11/Syne-VariableFont_wght.ttf	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/wp-content/uploads/2024/11/Syne-VariableFont_wght.ttf	(from https://klmnko.de/)
09:29:25	48947/48947	---M--	200	added ('OK')	text/css	etag:%22bf33-63eb274f25e07%22	https://klmnko.de/wp-content/cache/perfmatters/klmnko.de/css/front.used.css?ver=1757786047	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/wp-content/cache/perfmatters/klmnko.de/css/front.used983f.css	(from https://klmnko.de/)
09:29:25	5456/5456	---M--	200	added ('OK')	text/css	etag:%221550-638c61b4a0739%22	https://klmnko.de/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://klmnko.de/)
09:29:26	5097/5097	---M--	200	added ('OK')	text/css	etag:%2213e9-638c61b4a16b3%22	https://klmnko.de/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.4	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/wp-content/themes/hello-elementor/assets/css/themeedb1.css	(from https://klmnko.de/)
09:29:26	170646/170646	---M--	200	added ('OK')	application/rss+xml	etag:%22aa1d5635fd5011a8e9102ba38bdf4953%22	https://klmnko.de/feed/	C:/Users/user/Desktop/C%20Web/iphone%20money/klmnko.de/feed/index.html	(from https://klmnko.de/)
